work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_per_hour,is_remote,is_large_company
0.6451721429908086,0.5851458678097727,2,0,0.2812582761576308,9,0.485418994154419,33,-0.4949942648218974,32,1,0.485418994154419,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,-0.2614134349899995,9,-1.9078050694454978,33,-0.4949942648218974,32,1,-1.9078050694454962,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,0.21240253999648095,9,0.40943054907323034,33,-0.4949942648218974,32,1,0.40943054907323034,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,-0.5986244639129806,9,,33,-0.4949942648218974,32,1,,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,,3,,22,-0.4949942648218974,22,1,,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,,3,,22,-0.4949942648218974,22,1,,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,0.28256558428902934,9,0.4867711933167877,33,-0.4949942648218974,32,1,0.4867711933167878,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,-0.24456062241660267,9,-1.4228411304434196,33,-0.4949942648218974,32,1,-1.4228411304434176,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,0.16158840041967013,9,0.34597637767019046,33,-0.4949942648218974,32,1,0.3459763776701906,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,-0.6909018940553913,9,,33,-0.4949942648218974,32,1,,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,0.17717988183707126,9,0.36623788392838774,33,-0.4949942648218974,32,1,0.36623788392838785,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,-0.2553873760633347,9,-1.7008424209432602,33,-0.4949942648218974,32,1,-1.7008424209432524,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,0.2880889288311391,9,0.49245136657212635,33,-0.4949942648218974,32,1,0.49245136657212635,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,-0.1444276981704856,9,-0.4099790382539728,33,-0.4949942648218974,32,1,-0.4099790382539726,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,0.2880889288311391,9,0.49245136657212635,33,-0.4949942648218974,32,1,0.49245136657212635,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,-0.1444276981704856,9,-0.4099790382539728,33,-0.4949942648218974,32,1,-0.4099790382539726,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,0.3203474684915652,9,0.5246283756982695,33,-0.4949942648218974,32,1,0.5246283756982696,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,0.07813852155909734,9,0.2221600719519979,33,-0.4949942648218974,32,1,0.22216007195199797,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,-1.7035479593329688,2,0,0.0820608785157892,9,0.22867764637035964,33,-0.4949942648218974,32,1,0.2286776463703599,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,-1.7035479593329688,2,0,-1.2021307522771467,9,,33,-0.4949942648218974,32,1,,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,0.17492479021064045,9,0.3633536114034669,33,-0.4949942648218974,32,1,0.363353611403467,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,-0.3340069189904044,9,,33,-0.4949942648218974,32,1,,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,0.37113163428917617,9,0.5722762102995158,33,-0.4949942648218974,32,1,0.5722762102995158,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,-0.07564063984705721,9,-0.12974387280842295,33,-0.4949942648218974,32,1,-0.1297438728084228,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,-0.3340069189904044,9,,33,-0.4949942648218974,32,1,,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,,9,,33,-0.4949942648218974,32,1,,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,0.3891977689703371,9,0.588470852159281,33,-0.4949942648218974,32,1,0.588470852159281,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,0.07416545335481509,9,0.21547473141865414,33,-0.4949942648218974,32,1,0.21547473141865414,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,0.22630782237404626,9,0.4256028194184859,33,-0.4949942648218974,32,1,0.42560281941848593,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,-0.18417042326053396,9,-0.6611625723052118,33,-0.4949942648218974,32,1,-0.6611625723052101,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,0.22630782237404626,9,0.4256028194184859,33,-0.4949942648218974,32,1,0.42560281941848593,-0.48873712370118455,-0.13940657926347455
0.6451721429908086,0.5851458678097727,2,0,0.12888423290168494,9,0.3008283941988612,33,-0.4949942648218974,32,1,0.3008283941988614,-0.48873712370118455,-0.13940657926347455
